in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
404,0.345369378,0.382944947,0.201034787,0.426952425,0.591198443,1.345252495,28.83304814,12.92839472,0.532895133,0.452473278,0.826592744,29.3289128,0.206134725,0.00028257,154485.1366,193605.861,75,62,69,81,83,80,81,82,80,76,60,67
405,0.731807956,0.153395809,0.260625295,0.659065073,0.611974263,0.555870049,12.00993411,20.06553704,0.503465979,0.674899998,0.961741418,21.45133793,0.672127047,0.000431491,369163.5661,355361.429,81,82,82,81,83,83,82,85,84,79,77,81
406,0.392377913,0.171286769,0.707955666,0.41516646,0.912095182,0.196336742,10.23299783,20.37795607,0.906857479,0.710440376,1.020421336,27.57711257,0.650806914,0.000242226,315826.5506,730981.5622,79,80,78,82,84,83,82,83,82,81,81,79
407,0.240126276,0.607666486,0.307294542,0.4252344,0.990344327,0.951980239,26.80255798,6.318491783,0.668072863,0.444010952,0.896407655,23.94811447,0.529776632,0.00032821,295883.5079,407683.031,83,78,79,84,84,82,84,84,82,83,78,77
408,0.520939724,0.50309398,0.722681963,0.748024245,0.389341022,0.338480713,12.89665967,23.51434226,0.35045531,0.531529607,0.811270625,24.96519701,0.508471842,0.000465509,224870.6499,408453.535,82,82,82,84,83,84,85,83,84,81,82,83
409,0.703956926,0.679689144,0.729330365,0.673360091,0.502675957,1.818385118,21.79578563,33.00323054,0.447108189,0.721321026,0.967263939,22.43354751,0.630747587,0.000227433,328827.1839,887775.1138,87,83,83,87,85,85,87,87,85,86,81,83
410,0.411143853,0.66577899,0.620783894,0.486264523,0.666487473,0.685043091,25.94655329,31.36957921,0.263861296,0.128824086,1.183902547,29.70765721,0.563268564,0.000224852,411889.6335,313539.554,89,84,83,88,89,86,89,89,86,87,84,84
411,0.190910842,0.374208918,0.696670088,0.464414534,0.781648887,0.472221871,18.15947041,18.62466269,0.407959482,0.794513959,0.81226895,23.35129235,0.333235532,0.00043005,187147.8479,434221.9473,77,63,72,81,80,80,81,81,79,78,75,77
412,0.55635676,0.162983463,0.597102812,0.706639287,0.533869531,0.310646003,27.627695,30.09148053,0.422762418,0.275889275,1.138074,28.5466936,0.242654515,0.000443389,328921.1762,491348.226,73,68,72,79,78,78,79,78,78,72,69,73
413,0.233233514,0.48094714,0.607898509,0.220320717,0.567741059,1.952364434,21.57331192,15.40724386,0.895973596,0.679139806,1.174801257,29.22533106,0.501043263,0.000251698,437990.031,809579.5573,79,71,70,81,82,80,82,83,81,79,70,73
